rank,job,expert_dr,dataset_dr,interface_noise,robust_score,dr_mean_survival,dr_worst_survival,dr_mean_return,dr_mean_tracking_error,V0_return,V0_length,V0_survival,V0_xy_error,V0_yaw_error,V0_terminated,V0_action_abs,V1_return,V1_length,V1_survival,V1_xy_error,V1_yaw_error,V1_terminated,V1_action_abs,V2_return,V2_length,V2_survival,V2_xy_error,V2_yaw_error,V2_terminated,V2_action_abs,V3_return,V3_length,V3_survival,V3_xy_error,V3_yaw_error,V3_terminated,V3_action_abs,checkpoint_path
21,E0D1P0,default,friend_half,none,38.12017681384518,0.4111298500881834,0.08193121693121692,54.79351519166744,0.07766042153040568,144.59795325583036,2400.0,1.0,0.0272100567817688,0.027019087225198746,0,0.3540110251866281,16.11452137064506,363.5,0.15145833333333333,0.03291437029838562,0.03285021334886551,22,0.36032402406757075,143.38512657469892,2400.0,1.0,0.03186829760670662,0.03474300354719162,0,0.35760617210219303,4.88089762965833,196.63492063492063,0.08193121693121692,0.043983664363622665,0.05662171542644501,63,0.3683714129279057,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D1/P0/run/step48828
22,E1D2P0,friend_half,friend_full,none,37.328310516296185,0.44317562067562066,0.08532051282051283,56.99051134764945,0.11511121938625972,139.82861576361574,2400.0,1.0,0.042885396629571915,0.048053398728370667,0,0.39877867688735325,27.0591121167582,586.0952380952381,0.2442063492063492,0.04940270259976387,0.05501289293169975,21,0.4067953882738948,138.81906071892627,2400.0,1.0,0.04830365255475044,0.056153200566768646,0,0.3998985894645254,5.093361207263884,204.76923076923077,0.08532051282051283,0.057823944836854935,0.0786372646689415,13,0.40982483319938184,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D2/P0/run/step48828
23,E0D1P1,default,friend_half,action_noise,29.282507753865644,0.2193562307969198,0.16382773631840797,24.49337296866537,0.08473019301891327,144.85834275906927,2400.0,1.0,0.03035828284919262,0.024753592908382416,0,0.3570791549546023,37.168761811903096,724.5116279069767,0.3018798449612403,0.04075326770544052,0.036136988550424576,86,0.3669775327170889,19.768665129629273,461.6666666666667,0.19236111111111112,0.03471507504582405,0.03327814117074013,3,0.36068664776782194,16.542691964463735,393.1865671641791,0.16382773631840797,0.048951588571071625,0.06035551801323891,134,0.37556962464004756,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D1/P1/run/step48828
24,E0D1P3,default,friend_half,action_obs_noise,29.083002838099738,0.20767466699155296,0.1534375,23.585020624437462,0.08185811713337898,144.80650080706982,2400.0,1.0,0.027045952156186104,0.02583661861717701,0,0.35516863904272516,31.80530951044792,629.5631578947368,0.26231798245614035,0.039031848311424255,0.03486860916018486,190,0.3627276199683547,15.67960792494705,368.25,0.1534375,0.03323560580611229,0.03391628339886665,8,0.3581118760195871,23.270144437917416,497.44444444444446,0.20726851851851852,0.04801490530371666,0.05650709941983223,162,0.3677902010952433,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D1/P3/run/step48828
25,E1D1P1,friend_half,friend_half,action_noise,28.29657391500463,0.21308978954140245,0.13958333333333334,22.19699526597975,0.08001896863182385,145.01047658667449,2400.0,1.0,0.02936532348394394,0.022832710295915604,0,0.36435930236553155,42.32951992173067,815.4516129032259,0.3397715053763441,0.03756825625896454,0.03160863742232323,31,0.37518439134582876,9.769505360355001,335.0,0.13958333333333334,0.03523069620132446,0.03280963748693466,7,0.37151114697257676,14.491960515853581,383.79487179487177,0.1599145299145299,0.046668488532304764,0.05617118999361992,39,0.3848382113749782,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D1/P1/run/step48828
26,E0D2P3,default,friend_full,action_obs_noise,27.13700444509342,0.2122488635276103,0.17896899224806204,22.445853529666103,0.11851403738061587,13.981566867500547,344.4193548387097,0.14350806451612905,0.04149804264307022,0.04907615855336189,31,0.40202223472297194,27.840773103649724,587.2403100775193,0.24468346253229972,0.05029857158660889,0.06686142086982727,258,0.4196461964274446,21.630785875388366,511.4259259259259,0.21309413580246914,0.04554259032011032,0.057483162730932236,54,0.4069593795388937,17.86600160996022,429.52558139534887,0.17896899224806204,0.05636271834373474,0.07899364829063416,215,0.41681590675065916,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D2/P3/run/step48828
27,E0D2P0,default,friend_full,none,25.34787162528981,0.18053272993490385,0.13471283783783786,18.54501472482346,0.09519438197215398,31.297229067861753,638.1698113207547,0.26590408805031446,0.03450179472565651,0.037702083587646484,53,0.4000383209933837,18.190705284534044,423.4391304347826,0.17643297101449276,0.044004496186971664,0.04607567936182022,230,0.4122408517636359,25.682007964075144,553.0857142857143,0.23045238095238096,0.03794126957654953,0.04329853132367134,35,0.4005540442094207,11.762330925861189,323.31081081081084,0.13471283783783786,0.050656311213970184,0.063606858253479,148,0.41019720032811163,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D2/P0/run/step48828
28,E2D1P2,friend_full,friend_half,obs_noise,24.586418255315408,0.15093235257554363,0.12003865979381442,15.990473231684659,0.07926985373099645,145.49961181165054,2400.0,1.0,0.026382382959127426,0.024567382410168648,0,0.3613374808244407,17.450447814134385,381.62015503875966,0.15900839793281651,0.037167515605688095,0.03439672291278839,129,0.37182407833014924,19.27546445489861,417.0,0.17375,0.03100268915295601,0.03268755227327347,6,0.3658501224095623,11.245507426020978,288.0927835051546,0.12003865979381442,0.046213164925575256,0.05634191632270813,194,0.37792717162519696,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D1/P2/run/step48828
29,E2D0P1,friend_full,default,action_noise,24.25939399996121,0.1817588458994709,0.07949776785714285,20.561334370503502,0.0901268074909846,16.068702370673417,359.0,0.14958333333333335,0.03884878009557724,0.02900063246488571,5,0.3579323219632109,43.09079249505885,806.25,0.3359375,0.039709072560071945,0.031767234206199646,4,0.3676379196780423,13.026016827916639,311.6190476190476,0.12984126984126984,0.043168067932128906,0.038838841021060944,21,0.363361161313951,5.567193788535016,190.79464285714286,0.07949776785714285,0.05395909771323204,0.06293810904026031,112,0.3779481873412927,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D0/P1/run/step48828
30,E2D2P2,friend_full,friend_full,obs_noise,22.691157497088017,0.14014520750829068,0.11047413793103447,13.54880709978445,0.09103736281394958,143.1801053670406,2400.0,1.0,0.031292062252759933,0.03776984289288521,0,0.3628389761659006,11.178355713344097,285.9075630252101,0.1191281512605042,0.04136580601334572,0.04471703991293907,119,0.3710210631042719,20.350795834147206,458.0,0.19083333333333333,0.03581688553094864,0.04327090084552765,17,0.36590627538661163,9.117269751862045,265.13793103448273,0.11047413793103447,0.047447409480810165,0.06049404665827751,116,0.3760347716137767,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D2/P2/run/step48828
31,E2D1P3,friend_full,friend_half,action_obs_noise,21.043112398898607,0.10737139917695473,0.08416666666666667,9.899980586259442,0.07808794764180978,145.27170000357546,2400.0,1.0,0.024485670030117035,0.0268872007727623,0,0.3537635322473943,9.437678176970216,243.71296296296296,0.10154706790123456,0.03518443927168846,0.03354576230049133,216,0.36311205751573045,14.021768304519355,327.3611111111111,0.13640046296296296,0.030498823150992393,0.03428947925567627,36,0.3596202695245544,6.240495277288753,202.0,0.08416666666666667,0.04479425773024559,0.0559510812163353,223,0.37040943051377934,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D1/P3/run/step48828
32,E2D2P3,friend_full,friend_full,action_obs_noise,20.416051792831258,0.10822508138510849,0.09801470588235295,9.760648899387519,0.09473568573594093,15.434869515112103,352.9100529100529,0.1470458553791887,0.03196476772427559,0.03519677370786667,189,0.3634386449493468,9.445538178621334,247.68577494692144,0.10320240622788393,0.043500252068042755,0.04569229111075401,471,0.3732804280643662,11.820996051238014,296.2995169082126,0.12345813204508857,0.03675347566604614,0.044034119695425034,207,0.3665936888381839,8.015412468303207,235.23529411764707,0.09801470588235295,0.049537453800439835,0.06468946486711502,306,0.3758308208609621,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D2/P3/run/step48828
33,E2D0P0,friend_full,default,none,20.36397632650525,0.1118251689624929,0.07938675213675213,10.341157484929543,0.08960967510938644,145.13016465347027,2400.0,1.0,0.03363393619656563,0.027755558490753174,0,0.3572303461159269,15.088383352067988,347.1904761904762,0.1446626984126984,0.038296643644571304,0.032295022159814835,21,0.36348518760253984,10.450550852859111,267.4225352112676,0.11142605633802816,0.03980062156915665,0.03938097134232521,71,0.3609207708264391,5.484538249861529,190.52820512820512,0.07938675213675213,0.05298026278614998,0.06607550382614136,195,0.37628048439820605,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D0/P0/run/step48828
34,E2D0P3,friend_full,default,action_obs_noise,20.26901187359723,0.10517261904761904,0.08025,9.502261088376656,0.08587053418159485,145.16121603931606,2400.0,1.0,0.03309185057878494,0.027214305475354195,0,0.362127156611532,6.33263502670452,192.6,0.08025,0.03626227751374245,0.03174528107047081,5,0.37099586442112925,16.626051009166986,371.0,0.15458333333333332,0.03852034732699394,0.038137320429086685,1,0.36782749721159536,5.5480972292584605,193.64285714285714,0.0806845238095238,0.0512060672044754,0.06174030900001526,70,0.38346258010715245,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D0/P3/run/step48828
35,E1D2P3,friend_half,friend_full,action_obs_noise,19.612033822893448,0.18024061205363195,0.15894297334717897,16.059990938228726,0.22967997193336487,34.30714864074898,793.228125,0.33051171875,0.12323366850614548,0.09856761991977692,640,0.5850804398705562,14.148202898480902,381.4631360332295,0.15894297334717897,0.1320454478263855,0.10161752998828888,963,0.5829382715622584,20.13996801937028,517.7385620915032,0.2157244008714597,0.12081901729106903,0.09320202469825745,459,0.5862405375018716,13.891801896834997,398.53070866141735,0.16605446194225723,0.12664952874183655,0.1147063672542572,635,0.5916746370742718,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D2/P3/run/step48828
36,E1D2P2,friend_half,friend_full,obs_noise,12.964580635089352,0.10949996407599866,0.10660699197296154,7.88417968100378,0.2759197801351547,7.98069149518473,260.86508620689654,0.10869378591954022,0.10981938987970352,0.1603657603263855,2320,0.5413385607053837,7.638727669425594,255.85678073510772,0.10660699197296154,0.1262945979833603,0.1574670374393463,2367,0.5426241212462386,7.955797924978913,261.36858006042297,0.10890357502517624,0.11760815978050232,0.13938046991825104,2317,0.548002960147957,8.058013448606834,271.1743805516597,0.1129893252298582,0.13887415826320648,0.14813491702079773,2139,0.5487265191972256,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D2/P2/run/step48828
